word,"meaning"
bolster,to support or strengthen something
burgeon,to grow or develop rapidly
clarify,to make something easier to understand by explaining it more clearly
coherent,"clear and easy to understand, with all parts logically connected"
comprise,to include or consist of something
consensus,a general agreement among a group of people
contend,to argue or compete in order to achieve something
convene,to gather together people or a group for a meeting or event
deter,to discourage or prevent someone from doing something
demographic,"relating to the study of populations, especially their size and characteristics"
displace,to move or force something or someone out of its usual place or position
emit,"to send out or release something, such as light, heat, or sound"
encompass,to include or cover a wide range of things
erroneous,incorrect or based on false information
facilitate,to make something easier or less difficult to do
foster,to encourage or help the growth or development of something
inhibit,"to prevent or slow down the growth, development, or action of something"
insulate,"to protect something from outside influences, such as heat, cold, or noise"
magnitude,"the size, extent, or importance of something"
mundane,"ordinary, common, or not interesting"
notion,"an idea, belief, or understanding about something"
paradigm,a model or example that serves as a pattern for understanding a concept or theory
rectify,to correct or fix something that is wrong or faulty
suppress,"to stop or prevent something from happening or being seen, often by force"
aesthetic,related to beauty or the appreciation of beauty
apply,"use something, like knowledge or a method, to a particular situation"
approach,a way of doing something
basic,simple and fundamental; forming the base or starting point
boundary,"a limit or border that separates one area, region, or thing from another"
category,a group of things that share similar characteristics
concept,an idea or mental image of something
consider,think about something carefully in order to make a decision or form an opinion
constant,happening continuously without change
constrain,restrict or limit someone or something
contain,hold or have within; control or keep something from spreading
demand,ask for something forcefully; a strong need or desire for something
deteriorate,become worse in quality or condition over time
distribute,give out or share something among a group of people
engaged,actively involved or busy with something
exaggerate,"describe something as larger, better, or worse than it really is"
function,"the purpose or role something has, or the way it works"
incidental,minor or less important; happening as a result of something else
intend,plan or mean to do something
obstruct,block or make it difficult for something to happen or someone to move
overcome,successfully deal with or gain control over a problem or difficulty
pertain,be related or connected to something
primary,main or most important
property,a quality or characteristic that belongs to something
relatively,in comparison to others or to something else
sensitive,"easily affected by or responsive to things, like emotions or physical stimuli"
significant,important or large enough to be noticed or have an effect
stable,"not likely to change, fall, or break; steady"
universal,applying to all people or things in a group or category
various,different or diverse; more than one kind or type
appropriate,suitable or proper for a particular situation
aspect,a part or feature of something
authority,the power to make decisions or control people and things
circumstances,the conditions or facts affecting a situation or event
consent,permission or agreement given by someone
consequence,a result or effect of an action or decision
considerable,"large in amount, size, or degree"
consistent,always acting or behaving in the same way
context,the situation or background in which something happens or exists
coordinate,to organize or make different things work together
core,the most important or central part of something
distinct,clearly different or separate from other things
dominant,having more power or control than others
establish,to create or set up something that is meant to last
evaluate,to carefully consider something to form an opinion or judgment
framework,a basic structure that supports or guides the development of something
imply,to suggest or express something without saying it directly
indicate,to show or point out something
interpret,to explain or understand the meaning of something
involved,difficult to understand; complex
legislation,laws or a set of laws made by a government
maintain,to keep something in a certain condition or continue doing something; to say an opinion
perceive,to see or understand something in a certain way
potential,the possibility for something to happen or develop in the future
range,a variety or selection of different things
regulate,to control something by making rules or laws
restrict,"to limit or control the size, amount, or range of something"
seek,to try to find or obtain something
specific,particular or clearly defined
sufficient,enough in quantity or quality for a particular purpose
accumulate,to gather or collect something gradually over time
alleviate,to make something less severe or difficult
anticipate,to expect or predict something that will happen in the future
articulate,to express something clearly in words
assert,to state something confidently and forcefully
cohesion,the state of being connected or united
compile,to collect and organize information from various sources
compromise,to find a middle way between two positions; to weaken or damage
conduct,to manage or organize an activity
conform,"to behave according to the rules, standards, or expectations of a group"
credibility,the quality of being believable or trustworthy
crucial,extremely important or necessary
degrade,to cause something to become worse in quality or value
discord,a lack of agreement or harmony between people or things
dispute,a disagreement or argument about something important
elucidate,a disagreement or argument about something important
emulate,to try to be as good as or better than someone or something else
endorse,to publicly support or approve of something
essential,extremely important and necessary
exemplify,to be a very good example of something
fidelity,the quality of being loyal and faithful
genuine,"real, true, or sincere"
implement,to put a plan or decision into effect
initial,happening at the beginning or first stage of something
juxtapose,to place things close together or side by side for comparison or contrast
pinnacle,the highest point or level of achievement
persistent,continuing to do something despite difficulties or opposition
plausible,seeming reasonable or probable; believable
reconcile,to restore a relationship or bring two opposing things into agreement
valid,based on sound reasoning or evidence; acceptable or correct

alter,to change or modify something
annual,happening once every year
beneficial,helpful or advantageous; producing good results or effects
cite,to mention or refer to something as evidence or an example
component,a part or element of a larger whole
converse,to have a conversation or talk with someone
convey,"to communicate or express something, such as information or feelings"
denote,"to indicate or represent something, often with a specific meaning or symbol"
devote,"to give your time, energy, or attention to something"
duration,the length of time that something lasts or continues
eligible,having the right or being qualified to do or receive something
emphasize,to give special importance or attention to something
enable,to make it possible for someone or something to do something
encounter,to meet or come across someone or something unexpectedly
enforce,to make sure that a rule or law is obeyed
exclude,to prevent someone or something from being part of a group or activity
expand,"to become larger in size, number, or amount, or to make something larger"
explicit,clearly and directly stated or explained
external,relating to the outside or outer part of something
flexible,able to change or adapt easily to new situations or conditions
generate,"to produce or create something, often as a result of a particular process"
implicit,suggested or understood without being directly stated
incorporate,to include or combine something as part of a larger whole
index,"a list or record of items, often arranged in alphabetical order, that helps you find information"
insight,"a deep understanding of a person, thing, or situation"
intrinsic,belonging naturally; being an essential part of something
isolate,to separate someone or something from others
merge,to combine or join together two or more things into a single entity
mutual,shared or experienced by two or more people or groups
ongoing,continuing to happen or develop; not yet finished

accelerate,to speed up or increase the speed of something
accompany,to go with someone or to be provided or exist at the same time as something
advent,the arrival or beginning of something important or impressive
arid,a description for a place that is very dry and receives little rainfall
assemble,to bring or gather things together into a single group or place
construct,to build or make something by putting parts together
contribute,"to give something, like money or time, to help achieve or provide something"
cultivate,to prepare and use land for growing plants or crops aor to develop a skill or quality
doubt,to not be certain or confident about something or to think that something is not likely
endanger,to put someone or something at risk or in danger
erosion,"the process by which wind, water, or other natural agents gradually wear away soil, rock, or land"
evolution,"the process of change and development over time, often used to refer to natural or biological"
,changes in plants and animals over generations
expose,"to make something visible or known, often something that was previously hidden or secret"
extinct,no longer in existence; specifically used to refer to a species of plant or animal that has no living
,members
fertile,"able to produce abundant vegetation or crops; in the context of animals or humans, it refers to"
,the ability to conceive offspring
format,the way in which something is arranged or set out
marine,related to the sea or sea transport
necessitate,to make something necessary or unavoidable
prevent,to stop something from happening or someone from doing something
progressive,happening or developing gradually over time
rare,not common or frequent; very unusual
recover,"to get back or regain something lost or taken away; to return to a normal state of health, mind, or"
,strength
regular,happening or done frequently or at uniform intervals
reliance,dependence on or trust in someone or something
reproduce,"to produce again; in biology, it refers to the process by which plants and animals produce"
,offspring
retain,to keep or continue to have something
substance,"a particular type of solid, liquid, or gas"
successive,following one after the other in a sequence
susceptible,likely or liable to be influenced or harmed by a particular thing
tremendous,"very great in amount, scale, or intensity"
absorb,"to take in information, ideas, or substances"
adjust,to change something slightly
adopt,to take up or start to use something new
advise,to give someone suggestions about the best course of action
aggression,"behavior intended to harm or upset, or forceful action"
assist,to help someone with a task
cognitive,related to thinking or conscious mental activities
delicate,something that is easily broken or damaged
devoid,completely without something
emerge,"to come into view, become known or apparent"
excess,"an amount that is more than necessary, permitted, or desirable"
extensive,large in amount or size
gratify,to give pleasure or satisfaction to someone
impressive,"causing admiration because of an object's size, quality, or skill"
irrigation,the supply of water to land or crops to help growth
legitimate,acceptable according to the law or rules
limited,"not very much, or not very many"
puzzle,to make someone feel confused
readily,quickly and easily
region,"a particular area or part of the world, or any of the large official areas into which a country is"
,divided
reject,to refuse to accept or agree with something
repress,to control or keep down by force
reverse,to change something to its opposite
rigorous,careful and thorough
severe,very bad or serious
threaten,in danger of being harmed or lost
trigger,to cause something to start
ultimate,final or most important
vast,extremely big
vegetation,"plants in general, or plants that are found in a particular area"
ability,the skill or power to do something
advantageous,providing a benefit or leading to a better situation
agitate,"to disturb, upset, or excite someone or something"
compact,small but arranged in a way that uses space effectively
conflict,"a serious disagreement or argument, often over a long period"
critical,"very important, or expressing disapproval or judgments about things"
detect,"to notice or discover something, often something that is not easy to see, hear, etc."
direct,straight ahead or straight to a place; without turning or stopping
discard,to throw away or get rid of something that is no longer useful or needed
extreme,"very great in degree, very severe, or far from the center or middle"
form,the shape or visible structure of something
impart,"to give information, knowledge, wisdom, etc., to someone"
income,the money that you earn from working or making investments
maximize,to make something as great in amount or importance as possible
minimize,"to reduce something, especially something bad, to the lowest possible level"
modern,relating to the present time or recent times as opposed to the remote past
narrow,"having a small distance from one side to the other, not wide"
productive,"producing or able to produce large amounts of goods, crops, or other commodities"
refuse,to say that you will not do or accept something
resistance,the refusal to accept or comply with something
responsible,having a duty to deal with something or having control over someone
shift,"to move or cause to move from one place to another, especially over a small distance"
simplify,to make something less complicated and therefore easier to understand or do
status,the official position of a person or thing at a particular time
steady,"not moving or changing suddenly, stable"
strict,"demanding that rules, especially rules of behavior, should be obeyed"
symbolic,"representing something else, especially an idea or quality"
unite,"to join together as a group, or to make people join together as a group"
valuable,"worth a lot of money, or means a lot to someone"
visible,able to be seen
accustomed to,being familiar with something and accepting it as normal
capable,"having the ability, strength, or skill to do something well"
commerce,the activity of buying and selling goods and services
crisis,a difficult or dangerous situation that needs serious attention
declare,to say something in a clear and definite way
detract,"to take away a part of the value, importance, or quality of something"
disciplined,showing a controlled form of behavior or way of working
disrupt,"to cause problems that interrupt an event, activity, or process"
effort,the physical or mental energy used to do something
elegant,attractive and showing a good sense of style
encourage,to give someone confidence or hope
exact,completely correct or accurate
gap,a space or opening between two things
ideal,perfect or excellent
impact,the strong effect or influence that something has on a person or situation
instinctual,"related to behaviors that are natural and automatic, not learned"
intense,very strong; very great
measure,"to find out the size, length, or amount of something"
obvious,"easy to see, recognize, or understand"
occupation,a job or profession
origin,the point or place where something begins or is created
peak,the highest point or level
quality,how good or bad something is
reduce,"to make something smaller in size, amount, number, etc."
reveal,to make known something that was previously secret or unseen
satisfy,to fulfill a desire or need
scarce,not enough for what is needed; not plentiful or abundant
sense,a feeling about something
speculate,to form an opinion or make a guess about something
virtue,"a good moral quality in a person, or the general quality of being morally good."
active,"doing things, not just sitting and waiting, often involving physical movement"
balance,a state where different things occur in equal or proper amounts or importance
civilization,"a society with a high level of culture, science, industry, and government"
competitive,trying very hard to be better than others
conditions,"the state something is in, the circumstances affecting the way in which people live or work"
continuous,"happening without stopping, or happening repeatedly without gaps or pauses"
depend on,to need something or someone in order to survive or to achieve something
desire,a strong wish to have or do something
disproportionate,not in correct relation or balance with something else
divide,"to separate into parts or groups, or to make something do this"
enlarge,"to make something bigger, or become bigger"
humanitarian,related to improving people's lives and reducing suffering
immediate,happening or done without delay or very soon after something else
independent,"not influenced or controlled by others, capable of thinking or acting for oneself"
lack,not having enough of something or any at all
momentum,the force that keeps an object moving or keeps an event developing after it has started
obedient,"willing to do what someone tells you to do or to follow a law, rule, etc."
opportunity,a situation in which it is possible for you to do something that you want to do
oppose,"to disagree with something or someone, often by speaking or fighting against it, him, or her"
performance,"how well a person, machine, etc. does a piece of work or an activity"
philosophy,the study of the nature and meaning of the universe and of human life
reform,"to make an improvement, especially by changing a policy or system"
resemble,to look like or be similar to another person or thing
social,relating to activities in which you meet and spend time with other people
sophisticated,having a good understanding of the world and experiences; complex or intricate
stimulate,to encourage something such as an activity or a process so that brain activity or progress
,increases
supervise,"to watch a person or activity to make certain that everything is done correctly, safely, etc."
tactic,a planned way of doing something
tend to,regularly or frequently behave in a particular way or have a certain characteristic
upset,"to make someone worried, unhappy, or angry"
absence,the state of being away or not present
agent,a person or thing that takes an active role or produces a certain effect
appeal to,to ask for something urgently; be attractive or interesting
bond,a strong connection or relationship between people or things
collapse,to fall down or inward suddenly; to fail completely
complex,composed of many interconnected parts; not simple
counteract,to act against something in order to reduce its effect
eager,very excited and interested to do or to have something
efficient,doing something in a way that saves time and energy
envision,to picture something in your mind
factor,something that helps produce or influence a result
feature,an important part or characteristic of something
finance,"management of money, particularly in relation to companies, organizations, or governments"
gradually,slowly over a period of time
guarantee,a promise that something will happen or that something is true
liberty,the state of being free within society from oppressive restrictions imposed by authority on one's
,behavior or political views
mechanism,a natural or established process by which something takes place or is brought about
moral,concerning what is right and wrong in behavior
motion,the action or process of moving or being moved
occur,to happen or take place
prolong,to make something last longer
promote,"to help something happen, develop, or increase"
resent,"to feel bitterness or indignation at (a circumstance, act, or person)"
role,the function or part played in a particular situation or process
series,"a number of similar or related events or things, one following another"
specialized,designed for a particular purpose or activity
standing,the current position or reputation of someone or something in relation to others
transform,"to make a marked change in the form, nature, or appearance of"
transparent,clear enough to see through; easy to understand or recognize
welfare,"the health, happiness, and fortunes of a person or group."
altitude,how high something is above the ground or above sea level
artificial,"made by humans, not natural"
causal,relating to the cause of something
characterize,to describe the qualities or features of something or someone
compare,to examine two or more things to see how they are similar or different
contrast,to show how two or more things are different
damage,harm or injury that makes something less useful or valuable
dwell,to live in a place
dynamic,"always changing or moving, not static"
express,to say or show what you think or feel
favor,to prefer something or someone over others
feedback,advice or criticism given to someone to help them improve
fine,"very small or thin, or very good or well"
fragment,a small part that has broken off or separated from something
hidden,"not able to be seen, not visible"
interact,to communicate with or react to someone or something
judge,to form an opinion about someone or something based on evidence or facts
particular,"specific or special, or relating to one person or thing"
penetrate,to go into or through something
portray,to represent or describe someone or something in a certain way
principal,"most important, or the person in charge of a school"
process,a series of actions or steps taken to achieve a result
quantity,the amount or number of something
reflect,"to show an image of something as if in a mirror, or to think deeply"
remains,"what is left after other parts have been taken away, or a dead body"
sacrifice,to give up something valuable for something else considered more important
segment,a part of something that is separate from the other parts
subjected to,forced to experience or endure something
tendency,a likelihood to behave in a certain way
transmit,to send or pass something from one place or person to another
alienate,to make someone feel like they are different or separate
argue,to give reasons for or against something; to try to make someone agree with you
climate,the usual weather conditions in a particular place
coastal,related to the area where the land meets the sea
collide,to hit something or each other with strong force
concur,to agree with someone or something
destroy,to damage something so badly that it cannot be used
force,strength or energy that makes something happen or move
fracture,a break or crack in something hard like bone or rock
hostile,not friendly; having or showing dislike or opposition
influence,the power to change or affect someone or something
internal,related to the inside of something
landscape,"a large area of land that you can see all at once, often in a picture"
method,a way of doing something
negative,not positive or helpful; involving bad or harmful things
particle,a very small piece of something
permanent,lasting for a long time or for all time in the future
permitted to,allowed to do something
pleasant,"enjoyable or attractive, making you feel happy"
positive,good or useful; thinking about the good things rather than bad things
present,existing or happening now
raise,to move or lift something to a higher position
rate,the speed at which something happens over a particular period of time
regard,to consider or think about something in a particular way
relic,"an object, tradition, or system from the past that continues to exist"
signal,a sign or piece of information that tells what something is like or what might happen
suggest,to say that something might be true or that something should be done
tension,a feeling of nervousness that makes you unable to relax
uniform,the same; not changing or different in any way
unusual,not common or ordinary; different from what is expected or normal.
accurate,correct and precise
applicable,relevant or appropriate in a given situation
available,ready for use or able to be used
connect,to join or link things together
content,what is inside or included in something; happy or satisfied
current,happening or existing now; movement of sea water
exceptional,unusually good or outstanding
exist,to be or live; to be present
extract,"to remove or take out, especially by effort or force"
fastidious,very attentive to detail; hard to please
fulfill,"to carry out or achieve what was expected, promised, or desired"
huge,very big in size or amount
illuminating,"providing insight, knowledge, or spiritual illumination"
illusory,not real and based on illusion
input,"what is put in, taken in, or operated on by any process or system"
matter,"a subject or situation under consideration; also, a physical substance"
occasional,happening or appearing from time to time
output,"the amount of something produced by a person, machine, or industry"
partial,existing only in part; incomplete; biased toward something
pattern,a repeated decorative design or a regular and intelligible form or sequence discernible in the way
,in which something happens or is done
period,"a length of time in history or a person's life; also, punctuation mark (.) used at the end of a"
,sentence
prefer,to like one thing or person better than another; to choose something as more desirable
preparation,the action or process of making something ready for use or action
recognition,"the action of recognizing or the process of being recognized, for instance in terms of one's"
,achievements
require,to need something
resource,"a supply of money, materials, staff, and other assets that can be drawn on by a person or"
,organization in order to function effectively
separate,to set or keep apart; not together
sequence,a particular order in which related things follow each other
signify,to be an indication of; to mean
sparse,- thinly scattered or distributed or inadequate supply
abundant,having a lot of something
affect,to influence or cause a change
appearance,the way something or someone looks
associated,connected to or related to
attract,to draw someone or something closer
conceal,to hide something
correlate,to have a mutual relationship or connection
definite,clearly stated or decided
derive,to get or obtain something from a source
devise,to plan or invent a complex procedure
diet,the food and drink a person or animal regularly consumes
distinguish,to recognize or treat as different
element,a basic or essential part of something
expect,to think that something will probably or certainly happen
extend,to make longer in space or time
formal,following rules or customary procedure
fuel,to provide power or energy to something; to sustain or stimulate
heighten,to make higher or more intense
illustrate,to make clear by using examples or pictures
intermediate,"between two extremes, in the middle"
mass,a large amount of something
mere,used to emphasize how small or insignificant something is
migrate,"to move from one place to another, often seasonally"
misleading,giving the wrong idea or impression
natural,existing in or caused by nature
nutrition,the process by which organisms take in and utilize food material
react to,to act in response to something
structure,the arrangement of parts in a system or object
technical,"related to a particular subject, art, or craft, or its techniques"
wear,"to use something over a period of time, causing it to deteriorate or become damaged"
abandon,to leave or give up completely
abolish,"to officially end or stop something, especially a law or system"
adhere to,"to stick to or follow closely (a plan, rules, etc.)"
allocate,to set aside or distribute for a specific purpose
ancient,very old or from a long time ago
consecutive,following one after another in order
conservative,resistant to change or preferring traditional values
discount,to disregard or ignore something
distort,to twist or change information so it's no longer accurate or true
drawback,a disadvantage or problem that makes something less desirable
enormous,extremely large
flaw,"a mistake, weakness, or problem that makes something less perfect"
fragile,easily broken or damaged
generalize,to make a broad statement or conclusion based on specific cases
highlight,to emphasize or make more noticeable
ignorant,not having knowledge about something
neglect,to fail to care for or give attention to
object to,to disagree with or oppose something
overlook,to fail to notice or consider something
parallel,similar to; alike
persuasive,able to convince someone to believe or do something
plausible,believable or likely to be true
precise,exact and accurate
propose,to suggest a plan or idea for consideration
scatter,to throw or spread things in different directions
settle,"to make a place your home, or to resolve a disagreement or issue"
simultaneous,happening at the same time
sincere,honest and showing true feelings
thrive,"to grow, develop, or be successful"
vulnerable,"able to be easily hurt or harmed physically, mentally, or emotionally"
consult,to seek advice or information from someone
counterpart,a person or thing that has the same purpose as another one in a different place or organization
deliberate,(a) done consciously and intentionally; (v) think carefully or discuss
diverge,to go in different directions from a common point
dormant,not active or not in use at the present time but able to become active
embrace,"to accept an idea, a proposal, a set of beliefs, etc., especially when it is done with enthusiasm"
encroach,to gradually move or go into an area that is beyond the usual or desired limits
endure,"to suffer something difficult, unpleasant, or painful"
erratic,not happening at regular times; not following any plan or regular pattern
foul,"(a) unpleasant, especially because of a lack of cleanliness; (v) to spoil"
hazardous,risky; dangerous
hospitable,friendly and welcoming to visitors or guests
impetus,something that makes a process or activity happen or happen more quickly
indefinite,not clear or defined
initiate,to make something begin
instigate,"to make something start or happen, usually something official"
integral,necessary and important as a part of a whole
marked,clear and noticeable
meticulous,very careful and with great attention to every detail
paradox,a statement or situation that may be true but seems impossible or difficult to understand because
,it contains two opposite facts or characteristics
persevere,to continue trying to do something despite difficulties
pinpoint,to find out or say the exact position in space or time of something
proliferate,to increase rapidly in numbers
promptly,"quickly, without delay, or at the arranged time"
random,"done, chosen, etc. without you knowing what will happen, or without any plan or system"
reluctant,not willing to do something and therefore slow to do it
striking,interesting and unusual enough to attract attention
tempt,"to make someone want to have or do something, especially something that is unnecessary or"
,wrong
unprecedented,"having never happened, been done or been known before"
virtually,"almost or very nearly, so that any slight difference is not important."
apparent,easy to see or understand; clear to anyone
appreciate,to recognize the value of something
complementary,something that completes or goes well with something else
compose,"to create or write, like a song, poem, or letter"
conceive,to think of or come up with a new idea or plan
critique,to give your opinion about the good and bad parts of something
debatable,able to be argued about; controversial
dedicated,very committed or loyal to something or someone
deficient,not having enough of something
depart,"to leave a place, usually to go somewhere else"
deviate,to change from the usual or expected way
diligent,hard-working and careful
drastic,very big and noticeable
edit,"to make changes to something written, often to improve it"
elicit,"to get a reaction, answer, or information from someone"
endow,"to give someone or something a quality, talent, or asset"
ensue,"to happen after something else, usually as a result of it"
evident,clear to the mind or senses; easy to see or understand
exert,to use a lot of physical or mental energy to do something
induce,to cause something to happen
inferior,not as good as something else; lower in quality or value
inspect,to look at something carefully to check it
interrupt,to stop someone from talking or something from happening
investigate,to carefully examine the facts to discover the truth
mobile,able to move or be moved easily
preliminary,happening before a more important action or event
qualitative,related to the quality or character of something rather than its quantity
quantify,to measure or express the amount of something
repetitive,doing the same thing again and again; not changing
superior,better than other things; of higher quality or value
anomaly,something that is different from what is normal or expected
brief,"short in time, duration, or length"
conclude,to give an opinion based on observation or evidence
confer,to discuss something with others to make a decision
consolidate,"to bring together separate parts into a single, unified whole"
discrete,separate and different from each other
discriminate,"to treat a person or group differently based on their race, religion, etc.; to differentiate"
disseminate,"to spread or give out something, especially news, information, ideas, etc., to a lot of people"
domain,"an area of activity, knowledge, or interest"
excerpt,"a short part taken from a book, movie, speech, etc."
indiscriminate,done randomly without thinking; unplanned
infer,to form an opinion or guess that something is true because of the information you have
orient,to direct or position towards a particular point
passive,accepting or allowing what happens without active response or resistance
phase,a period or stage in a process of change or development
practical,"related to real situations and events rather than ideas, and can be used in real situations"
pragmatic,dealing with things in a way that is based on practical rather than theoretical considerations
predict,to say that something will happen in the future
predominant,"more noticeable or important, or larger in number, than others"
prohibit,to not allow; to stop something from being done
protocol,a system of rules that explain the correct conduct and procedures to be followed in formal
,situations
pursue,to follow or chase something with the aim of catching or achieving it
ratio,"a relationship between two amounts, showing the number of times one value contains or is"
,contained within the other
sector,"a part of an area of activity, especially of business, industry, or trade"
statistics,a collection of numerical data
strategic,related to the process of planning to achieve a goal
summarize,to tell the main points of something in a short and clear form
survey,(v) to ask people their opinions regarding a topic; (n) a scientific study
trend,a general direction in which something is developing or changing
utilize,to use something in an effective way
apprehensive,worried or fearful about what might happen
ascertain,to find out something for certain
autonomy,the ability to make your own decisions; freedom
category,a group of people or things that are similar in some way
contrived,"planned or created, but seeming false and not natural"
conundrum,"a difficult problem, one that is hard to deal with"
converge,to move towards one point from different directions
descriptive,"giving details about how something looks, sounds, etc."
dichotomy,a division into two groups that are entirely different
disparage,to say negative things about someone or something
empathetic,being able to understand other people's feelings
evoke,"to bring a feeling, memory or image into mind"
fallacy,a false idea or belief
formulate,"to create, invent, or produce something by careful thought and effort"
fruitful,producing good or useful results
immerse,to become completely involved in an activity
innate,"something you are born with, not learned"
presume,"to think that something is true, even though you are not certain"
prior,happening or existing before a particular event or time
prospect,the possibility that something will happen in the future
publish,"to prepare and print a book, magazine, piece of music, etc., so that people can buy it"
regime,a particular government or a system or method of government
rigid,not able to be changed or adapted
scenario,a description of possible actions or events in the future
substitute,a person or thing that takes the place of someone or something else
supplement,to add to something
tangible,"real and not imaginary; able to be shown, touched, or experienced"
theorize,"to form an idea or theory about something, even though the details are not known or certain"
transient,not lasting long or staying in one place for a long time
volume,the amount or quantity of something
adept,very skilled or good at something
ambivalent,having mixed feelings or contradictory ideas about something or someone
amplify,"to make something larger, louder, or more important"
commensurate,"equal or similar to something in size, amount, or degree"
concede,to admit that something is true
conjecture,a guess about something based on how it seems and not on proof
contemplate,to think carefully about something for a long time
doctrine,a set of ideas or beliefs that are taught or believed to be true
exemplary,"serving as a desirable model, representing the best of its kind"
extrapolate,to guess or think about what might happen using information that is already known
imperative,extremely important or necessary
incite,to encourage or stir up violent or unlawful behavior
inclusive,containing all the services or features that are needed
mitigate,"to make something less severe, harmful, or damaging"
parameter,"a factor, guideline, criterion, or framework of/for something"
physiological,related to the way in which the bodies of living things work
posit,to suggest something as a basic fact or principle from which a further idea is formed or developed
principle,a fundamental truth or proposition that serves as the foundation for a system of belief or behavior
procedure,a fixed way of doing things
prolific,producing a lot of something
psychological,related to the human mind and feelings
redundant,not needed because something else does the same job
section,a part of something larger
simulate,"to create conditions or events that resemble reality, often for study or training purposes"
task,a piece of work to be done
technique,a particular way of doing something
